"Date","Start_Time","Stop_Time","Study_Time"
"8/7/24","38:48.7","13:50.8","0:35:02"
"8/8/24","05:56.1","52:47.4","0:46:51"
"2024-08-08","2024-08-08 22:16:48.756306","2024-08-08 22:51:57.252024","00:35:08"
"2024-08-09","2024-08-09 16:00:18.583771","2024-08-09 16:28:47.90057","00:28:29"
"2024-08-11","2024-08-11 13:17:17.925955","2024-08-11 14:24:12.199219","01:06:54"
"2024-08-11","2024-08-11 19:54:09.187349","2024-08-11 20:55:49.647184","01:01:40"
"2024-08-11","2024-08-11 21:03:48.880933","2024-08-11 21:17:12.290768","00:13:23"
"2024-08-12","2024-08-12 15:44:22.282157","2024-08-12 16:36:51.780033","00:52:29"
"2024-08-19","2024-08-19 18:28:50.03619","2024-08-19 20:02:09.422755","01:33:19"
"2024-08-20","2024-08-20 20:05:33.882873","2024-08-20 20:37:43.256129","00:32:09"
"2024-08-22","2024-08-22 22:27:04.513215","2024-08-22 23:01:05.587206","00:34:01"
"2024-08-23","2024-08-23 14:45:53.866612","2024-08-23 15:27:21.597596","00:41:27"
"2024-08-25","2024-08-25 13:10:14.085067","2024-08-25 13:51:26.550259","00:41:12"
"2024-08-25","2024-08-25 18:24:24.844734","2024-08-25 18:24:30.354994","00:00:05"
"2024-08-25","2024-08-25 18:32:57.026587","2024-08-25 18:48:55.158608","00:15:58"
"2024-08-25","2024-08-25 22:03:28.228873","2024-08-25 22:03:33.834389","00:00:05"
"2024-08-27","2024-08-27 21:04:17.836738","2024-08-27 23:06:43.043779","02:02:25"
"2024-08-28","2024-08-28 19:50:53.252918","2024-08-28 20:22:14.088398","00:31:20"
"2024-09-02","2024-09-02 20:13:39.866269","2024-09-02 20:48:08.342717","00:34:28"
"2024-09-03","2024-09-03 20:13:27.664383","2024-09-03 20:55:14.797365","00:41:47"
"2024-09-03","2024-09-03 21:44:24.182381","2024-09-03 22:02:56.255735","00:18:32"
"2024-09-04","2024-09-04 20:16:56.785121","2024-09-04 20:47:58.520883","00:31:01"
"2024-09-04","2024-09-04 21:11:39.52618","2024-09-04 21:28:11.379054","00:16:31"
"2024-09-07","2024-09-07 21:45:14.181388","2024-09-07 22:10:08.429421","00:24:54"
"2024-09-07","2024-09-07 22:30:37.778749","2024-09-07 23:06:50.174817","00:36:12"
"2024-09-08","2024-09-08 20:18:57.375236","2024-09-08 20:57:16.051092","00:38:18"
